"X","Y","OBJECTID","CreationDate","Creator","EditDate","Editor","GlobalID","AreaID","UNIT_CODE","Park Name","DATE_EDIT","State","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","PARKNAME"
" -12196158.8"," 4260417.942","         297","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","dc13e738-6c6d-407b-bd71-4c7771807a06","         308","HUTR","Hubbell Trading Post National Historic Site","2008/05/13 00:00:00+00","AZ","IM","6092","National Historic Site","Lands","Hubbell Trading Post"
"-12304840.87","4395358.7724","         298","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","f10fb865-e94d-4f5e-9826-719105ef85e4","         309","NAVA","Navajo National Monument","2009/07/13 00:00:00+00","AZ","IM","8538","National Monument","Lands","Navajo"
"-12412520.93","4186538.7465","         299","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","6752b7f9-5f3d-4a32-95a8-f276ece20d72","         310","WACA","Walnut Canyon National Monument","2018/02/12 00:00:00+00","AZ","IM","35848","National Monument","Lands","Walnut Canyon"
"-12413385.07","4214433.0985","         300","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","4e57dc28-4680-433e-86ce-bf886964fa81","         311","SUCR","Sunset Crater Volcano National Monument","2006/08/11 00:00:00+00","AZ","IM","34968","National Monument","Lands","Sunset Crater Volcano"
" -12401642.1","4240911.3301","         301","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","afe1011f-cd2c-48fe-928a-42b2ebe30d33","         312","WUPA","Wupatki National Monument","2018/02/06 00:00:00+00","AZ","IM","38197","National Monument","Lands","Wupatki"
"-10835958.92","3086764.5824","         302","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","6d1eaf69-f6b0-4ef7-bb52-52544b9ba8ca","         313","PAIS","Padre Island National Seashore","2018/07/26 00:00:00+00","TX","IM","1383785","National Seashore","Lands","Padre Island"
"-11763676.58","4237253.0647","         303","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","92db450f-110a-44d9-849a-99e329d06a97","         314","PECO","Pecos National Historical Park","2022/03/04 00:00:00+00","NM","IM","937161","National Historical Park","Lands","Pecos"
"-10797733.28","4090131.9138","         304","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","38b8923f-2359-42ce-8ab6-759b00a84f62","         315","CHIC","Chickasaw National Recreation Area","2018/03/29 00:00:00+00","CO","IM","1101907","National Recreation Area","Lands","Chickasaw"
" -10034562.2","3478825.5175","         305","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","bfef45c8-84f6-43ff-be38-6c7a7fdc00ac","         316","JELA","Jean Lafitte National Historical Park and Preserve","2010/06/11 00:00:00+00","LA","SE","560393","National Historical Park","Lands","Jean Lafitte"
"-11322228.42","4245876.0843","         306","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","274fa0d8-889b-4de0-8c6e-3d55a92faf7a","         317","LAMR","Lake Meredith National Recreation Area","2019/11/25 00:00:00+00","TX","IM","1384770","National Recreation Area","Lands","Lake Meredith"
" -11317803.4","4243268.3782","         307","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","66f7909c-87f1-46e1-be46-1ac7c9947da7","         318","ALFL","Alibates Flint Quarries National Monument","2019/11/25 00:00:00+00","TX","IM","1377214","National Monument","Lands","Alibates Flint Quarries"
"-11413890.35","3472449.1789","         308","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","f0f821e3-3609-427a-86ab-7690da0fc649","         319","RIGR","Rio Grande Wild and Scenic River","2018/03/22 00:00:00+00","TX","IM","2766087","National Wild & Scenic River","Lands","Rio Grande"
"-10959924.31","3418064.3903","         309","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","6bfa444b-186f-47ce-9f4a-3e5cca4ef385","         321","SAAN","San Antonio Missions National Historical Park","2021/06/24 00:00:00+00","TX","IM","1377039","National Historical Park","Lands","San Antonio Missions"
"-11099051.82","4248574.5894","         310","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","ac47fbcb-9edb-4f3c-9daf-2170da5bcff6","         323","WABA","Washita Battlefield National Historic Site","2022/03/25 00:00:00+00","OK","IM","1946144","National Historic Site","Lands","Washita Battlefield"
"-11836151.06","3864122.1483","         311","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","66c0900e-8a23-4683-81ec-0ef05dacb6f7","         324","WHSA","White Sands National Park","2020/01/22 00:00:00+00","NM","IM","914261","National Park","Lands","White Sands"
